;;;;;;;;;;;;;
;住基ネットにおける人口【参考値】（北海道総合政策部地域行政局市町村課調）;;;;;;;;;;;;
;"・このデータは住民基本台帳ネットワークシステム上の平成26年6月30日現在の入力状況であり、各市町村が公表する住民基本台帳人口と一致しない場合があります。
・出生時に性別が不明などの理由で、住民基本台帳に記載がない場合、不明に掲載されています。";;;;;;;;;;;;
;;;;;;;;;;;;;平成26年6月30日現在
;市区町村;人　口（人）;;;;;;;;;;;
;;総　数;;;男;;;女;;;不明;;
;;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計
;　　増毛町;4 880;58;4 938;2 244;3;2 247;2 636;55;2 691;0;0;0
;　　小平町;3 409;13;3 422;1 620;0;1 620;1 789;13;1 802;0;0;0
;　　苫前町;3 428;14;3 442;1 631;2;1 633;1 797;12;1 809;0;0;0
;　　羽幌町;7 637;5;7 642;3 629;2;3 631;4 008;3;4 011;0;0;0
;　　初山別村;1 309;1;1 310;621;1;622;688;0;688;0;0;0
;　　遠別町;2 896;15;2 911;1 396;3;1 399;1 500;12;1 512;0;0;0
;　　天塩町;3 341;17;3 358;1 677;6;1 683;1 664;11;1 675;0;0;0
;;;;;;;;;;;;;
;宗谷計;68 277;826;69 103;33 502;129;33 631;34 775;697;35 472;0;0;0
;　　稚内市;36 646;355;37 001;17 981;79;18 060;18 665;276;18 941;0;0;0
;　町村計;31 631;471;32 102;15 521;50;15 571;16 110;421;16 531;0;0;0
;　　幌延町;2 507;19;2 526;1 279;9;1 288;1 228;10;1 238;0;0;0
;　　猿払村;2 723;107;2 830;1 341;22;1 363;1 382;85;1 467;0;0;0
;　　浜頓別町;3 873;121;3 994;1 917;3;1 920;1 956;118;2 074;0;0;0
;　　中頓別町;1 885;5;1 890;936;2;938;949;3;952;0;0;0
;　　枝幸町;8 709;158;8 867;4 174;6;4 180;4 535;152;4 687;0;0;0
;　　豊富町;4 172;14;4 186;2 110;3;2 113;2 062;11;2 073;0;0;0
;　　礼文町;2 743;25;2 768;1 359;3;1 362;1 384;22;1 406;0;0;0
;　　利尻町;2 263;3;2 266;1 087;1;1 088;1 176;2;1 178;0;0;0
;　　利尻富士町;2 756;19;2 775;1 318;1;1 319;1 438;18;1 456;0;0;0
;;;;;;;;;;;;;
;オホーツク計;296 755;1 693;298 448;142 536;399;142 935;154 219;1 294;155 513;0;0;0
;　市計;183 381;863;184 244;87 733;244;87 977;95 648;619;96 267;0;0;0
